Judul,Genre,Mood,Cocok Saat
The Hangover,Comedy,Ringan,Butuh Ketawa
Rough Night,Comedy,Ringan,Butuh Ketawa
Spy,"Comedy, Action",Ringan,Butuh Ketawa
Scent of A Woman,Drama,Sedih,Ingin Merasakan sesuatu
Coda,Drama,Heartwarming,Butuh Motivasi
Forrest Gump,Komedi,Heartwarning,Overthinking
The Green Book,Drama,Heartwarming,Butuh Inspirasi
The Green Mile,Drama,Sedih,Reflektif
Titanic,Drama,Sedih,Butuh tontonan cinta
One Piece Live Action,Petualangan,Ceria,Butuh Mood Booster
Game of Thrones,Drama,Menegangkan,Butuh Menaikkan Adrenalin
The Knight of The Seven Kingdom ,Drama,Menegangkan,Butuh Menaikkan Adrenalin
Conjuring,Horror,Menegangkan,Butuh Menaikkan Adrenalin
Dead Poets Society ,Drama,Heartwarming,Butuh Inspirasi
The Greatest Showman,Musikal,Heartwarming,Butuh Motivasi
Frozen,Musikal,Heartwarming,Butuh Motivasi
Coco,Fantasi,Sedih,Ingin Merasakan Sesuatu
Moana,Petualangan,Ceria,Butuh Motivasi
Insidious,Horor,Menegangkan,Butuh menaikkan adrenalin
A Star is Born,Musikal,Sedih,Ingin Merasakan Sesuatu
